cup,region,maturity,category,amount_eur,award_amount_eur,has_amount,has_award_amount,has_published_at,has_awarded_at,has_cig,has_procedure,has_contract_type,is_direct,is_works,is_framework
B18H22000490006,Basilicata,Concluso,ASILI NIDO,475675.01,459533.53,1,1,1,1,1,1,1,0,1,0
B18H22000490006,Basilicata,Concluso,ASILI NIDO,22750.0,22750.0,1,1,1,1,1,1,1,1,1,0
B18H22000490006,Basilicata,Concluso,ASILI NIDO,3077.0,0.0,1,1,1,1,1,1,1,1,0,0
B18H22000490006,Basilicata,Concluso,ASILI NIDO,1350.0,0.0,1,1,1,1,1,1,1,1,0,0
B18H22000490006,Basilicata,Concluso,ASILI NIDO,12331.0,0.0,1,1,1,0,1,1,1,1,1,0
B18H22000490006,Basilicata,Concluso,ASILI NIDO,12479.01,0.0,1,1,1,0,1,1,1,1,0,0
B18H24000630006,Lombardia,Collaudo non concluso,ASILI NIDO,66000.0,66000.0,1,1,1,1,1,1,1,1,0,0
B18H24000630006,Lombardia,Collaudo non concluso,ASILI NIDO,438287.54,410342.51,1,1,1,1,1,1,1,0,1,0
B18H24000630006,Lombardia,Collaudo non concluso,ASILI NIDO,1000.0,1000.0,1,1,1,0,1,1,1,1,0,0
B18H24000640001,Piemonte,Esecuzione lavori,ASILI NIDO,128517.41,128517.41,1,1,1,1,1,1,1,1,1,0
B18H24000650006,Sicilia,Collaudo non concluso,ASILI NIDO,4900.0,4900.0,1,1,1,0,1,1,1,1,0,0
B18H24000650006,Sicilia,Collaudo non concluso,ASILI NIDO,450000.0,319706.47,1,1,1,1,1,1,1,0,1,0
B21B22000440006,Emilia-Romagna,Concluso,ASILI NIDO,80227.74,80023.16,1,1,1,1,1,1,1,1,0,0
B21B22000440006,Emilia-Romagna,Concluso,ASILI NIDO,4600.0,4600.0,1,1,1,1,1,1,1,1,0,0
B21B22000440006,Emilia-Romagna,Concluso,ASILI NIDO,1387995.2,1222830.48,1,1,1,1,1,1,1,0,1,0
B21B22000440006,Emilia-Romagna,Concluso,ASILI NIDO,15971.4,7592.0,1,1,1,1,1,1,1,1,0,0
B21B22000800006,Campania,Collaudo non concluso,ASILI NIDO,5500.0,5450.0,1,1,1,1,0,1,0,1,0,0
B21B22000800006,Campania,Collaudo non concluso,ASILI NIDO,89300.0,88407.0,1,1,1,1,1,1,1,0,0,0
B21B22000800006,Campania,Collaudo non concluso,ASILI NIDO,1029560.04,868185.69,1,1,1,1,1,1,1,0,1,0
B21B22000800006,Campania,Collaudo non concluso,ASILI NIDO,5000.0,4500.0,1,1,1,1,1,1,1,1,0,0
B23C22000000006,Toscana,Collaudo non concluso,ASILI NIDO,86493.43,35500.0,1,1,1,1,1,1,1,1,0,0
B23C22000000006,Toscana,Collaudo non concluso,ASILI NIDO,6720.0,6720.0,1,1,1,1,1,1,1,1,0,0
B23C22000000006,Toscana,Collaudo non concluso,ASILI NIDO,894933.7,732638.19,1,1,1,1,1,1,1,0,1,0
B23C22000000006,Toscana,Collaudo non concluso,ASILI NIDO,59.39,59.39,1,1,1,0,1,1,1,1,0,0
B23C22000000006,Toscana,Collaudo non concluso,ASILI NIDO,350.0,350.0,1,1,1,0,1,1,1,1,0,0
B23C22000000006,Toscana,Collaudo non concluso,ASILI NIDO,2400.0,2400.0,1,1,1,1,1,1,1,1,0,0
B23C22000000006,Toscana,Collaudo non concluso,ASILI NIDO,450.0,0.0,1,1,1,1,1,1,1,1,0,0
B23C22000300006,Sicilia,Concluso,ASILI NIDO,42266.75,41844.08,1,1,1,1,1,1,1,1,0,0
B23C22000300006,Sicilia,Concluso,ASILI NIDO,7717.05,0.0,1,1,1,0,1,1,0,1,0,0
B23C22000300006,Sicilia,Concluso,ASILI NIDO,1900.0,1881.0,1,1,1,1,1,1,1,1,0,0
